actor,text
Walter,Okay. Hello.
Jesse,"Yo. What's up, Mr. W?"
Walter,Speaking.
Jesse,Bad time to talk?
Walter,Absolutely.
Jesse,"All right, so just listen. You know that guy we were talking about, Tuco? Turns out my boy Skinny Pete was in the same cellblock with him over at Los Lunas. So we got our in. We're hauling a pound to the dude right now."
Walter,"Okay, then. Thank you very much for calling. My doctor is very solicitous."
Hank,"Look, buddy, the last thing I want to do is get you in hot water, but some meth monkey had a feeding frenzy in here, okay? You got to keep a better watch over your turf."
Walter,I will.
Hank,"We don't want people to start wondering about you, right?"
Walter,Right. No. Right. Absolutely not.
Jesse,So you're sure you're tight with this guy?
Skinny Pete,"Two nuts in a ball sack, yo. Yo, man, I'm Skinny Pete!"
Jesse,"Maybe this isn't such a good idea, yo. Come on."
Skinny Pete,"Atta man. That's what's happening. Yo, Tuco's expecting us. No need, man. Me and Tuco go back. Tuco. What's happening, my brother? Sick crib, yo. You been keeping it real since you been sprung. What's it been, like a year?"
Tuco,This your boy?
Skinny Pete,"Yeah, Jesse. The dude with the glass I was telling you about."
Jesse,"Hey, man. Yeah, I've heard a lot about you."
Tuco,Break out the ice. Take a bump.
Jesse,"No worries, man. I'm no cop."
Tuco,I said hit it.
Jesse,All right.
Tuco,Boo ya! Woo! This kicks like a mule with his balls wrapped in duct tape. Woo! Where'd you get it?
Jesse,I cooked it.
Tuco,Bullshit! Who you working for?
Jesse,"No one, man. I mean, I have a partner that I cook with, but that's it."
Tuco,All right. We got a deal.
Skinny Pete,See? I told you Tuco would hook you up.
Jesse,Cool. I haven't said how much.
Tuco,All right. How much?
Jesse,35 large for the pound.
Tuco,"Well, you're a little light, ese. It's all right. Don't sweat it. It's all good. It's good. Go on. Get out of here."
Jesse,What about the money?
Tuco,You'll get it. This is a consignment operation.
Jesse,You want me to float 35 G's?
Tuco,You don't trust me?
Jesse,"No, no. Hey, it's not that, man. It's just, you know, I don't do business that way."
Tuco,Tough shit! The deal is done!
Jesse,You said this was cool. Get money for meth. Cash up front.
Skinny Pete,"Don't front, dude. Tuco's good for it."
Tuco,I don't need your punk ass to vouch for me!
Jesse,"Come on! Oh, come on!"
Tuco,"All right, you brought me some really clean crystal. Do you really want your money up front? Up front. Nobody moves crystal in the South Valley but me, bitch!"
Hank,"Good morning, Hugo. Don't mind if I call you Hugo, Hugo?"
Walter Jr,Is that Uncle Hank? Uncle Hank's arresting Mr. Archuleta.
Carmen,This doesn't make any sense to me at all. I don't understand.
Hank,I got two words for you  background check. How about that?
Jesse,"Yo, yo, yo. 148-3369, representing the ABQ. What up, biatch? Leave it at the tone."
Walter,Where the hell are you? Call me back.
Skyler,"Hey, Walt."
Walter,Yeah?
Skyler,Hank's about to deal.
Walter,Okay. I'll be right there.
Hank,All right. Let's see what the turn brings us.
Marie,"You're looking good, Walt. Your color's better."
Walter,Yeah? Thanks.
Skyler,"He's actually on the pretty strong stuff now. Dr. Delcavoli is trying to talk him into taking some time off from work, but..."
Walter,"Well, actually, I just talked to Carmen this morning, and they're getting a substitute for a few weeks. I just didn't have a chance to tell you. Sorry."
Hank,"Your bet, tough guy."
Walter Jr,Check.
Skyler,Yeah. Check.
Marie,Check's in the mail. 10 million.
Hank,Red's 25 million. Blue's 10.
Marie,Then 25 million because that's how I roll.
Walter Jr,"Hey, Uncle Hank, why were you arresting Mr. Archuleta the other day? He's a pretty cool guy."
Hank,"Well, turns out that he has a record. Yeah. Couple of possession beefs. We figure he was the guy that was stealing your school's chemistry gear. I mean, you know, he had a key. Fit the profile. When we searched his truck, we found a big old fat blunt, which goes to prove old Huge Hugo ain't so cool after all. It's to you, Walt."
Walter,"Yeah, I'll call."
Skyler,"I can't believe the school system didn't know about this guy's record. I mean, that's pretty scary. How could something like that just slip through the cracks?"
Walter,"I don't know. I mean, for what it's worth, Hugo just doesn't strike me as the thief."
Hank,"Yeah, well, nothing personal, Walt, but you wouldn't know a criminal if he was close enough to check you for a hernia. Now, that said, we got a search warrant, and we tore old Hugo's house apart. Turns out he's a major league pothead. But he didn't raid your chemistry set. You hiding something?"
Walter,I'm in.
Walter Jr,"Yeah, I got nothing."
Skyler,I'm out.
Marie,I'm out.
Hank,"Yowsa! When old ""holes in her purse"" bails, you know you're in deep. Looks like it's you and me, buddy."
Walter,What's going to happen to him? Hugo.
Hank,"Well, I mean, he's going to lose his job, like he should. Probably spend a couple months in County, as it's not his first rap. I'm waiting. You going to man up, or you're going to puss out?"
Skyler,Hank.
Hank,What? Sorry.
Walter,I'm all in.
Hank,"No. You bad, bad, bad, horrible liar. What are you smoking there, huh? You got a heart? You got the flush, don't you? Nope. Not falling for it, buddy. I fold."
Marie,"Talk about anti-climactic. Your cards couldn't have been that bad. Oh, my God. You threw away an ace..."
Hank,What are you doing? Don't.
Marie,"...and a cowboy, for...a handful of nothing."
Walter,"Who is this? I was dialing Jesse Pinkman. Well, where is he, then?"
Skinny Pete,You the guy?
Walter,"Yeah, I'm the guy. How is he?"
Skinny Pete,"Got some busted ribs and like that. Got messed up pretty good. I was all like ""Damn, Tuco, chill, ese."" I don't know what got into him. Seriously. Oh, he's out, man, way out. They got him doped up big-time. So you're the cook, huh? Yo, I didn't catch your name."
Walter,Tell me about this Tuco. Tell me everything about him.
Walter,"Good morning. Would you pass the butter, please?"
Walter Jr,"Bad ass, Dad."
Walter,"You Tuco? I want to talk to Tuco, and I'm not leaving until I do."
Tuco,What's your name?
Walter,Heisenberg.
Tuco,"Heisenberg. Okay. Have a seat, Heisenberg."
Walter,I don't imagine I'll be here very long.
Tuco,No? All right. Be that way. It's your meeting. Why don't you start talking and tell me what you want?
Walter,"$50,000."
Tuco,"Oh, man! 50 G's? How you figure that?"
Walter,35 for the pound of meth you stole and another 15 for my partner's pain and suffering.
Tuco,"Partner. Oh, yeah. I remember that little bitch. So you must be Daddy. Let me get this straight. I steal your dope, hmm? I beat the piss out of your mule boy! And then you walk in here, and you bring me more meth? That's a brilliant plan, ese. Brilliant."
Walter,You got one part of that wrong. This is not meth.
Tuco,Are you f*cking nuts?
Walter,You want to find out?
Tuco,"No-Doze, Gonzo, calma! Calma. Calma. You got balls. I'll give you that. All right. All right. I'll give you your money. That crystal that your partner brought me, it sold faster than $10 ass in TJ. What say you bring me another pound next week?"
Walter,Money up front.
Tuco,All right. Money up front. Sometimes you gotta rob to keep your riches. Just as long as we got an understanding.
Walter,One pound is not going to cut it. You have to take two.
Tuco,"Hey, what is that shit?"
Walter,Fulminated mercury. A little tweak of chemistry.
Superintendent,"In closing, I can tell you we take this very seriously. APD as well as the DEA. Stopping the manufacture and sale of methamphetamines remains one of our highest priorities. And the theft of lab equipment from your school is also receiving our highest attention. Rest assured, no stone will go unturned in our search for the person or persons responsible for this. If you have any questions, now would be the time."
Parent,You're talking like you haven't caught anybody yet. What about the janitor that was dealing drugs at the school?
Carmen,"There is no indication that this individual was selling drugs. He was arrested for having a small amount of marijuana in his car, not in the school. And he's since been fired."
Parent,I heard he had a record. I'd like to know how he got a job here in the first place. Why wasn't there a background check?
Carmen,There was one. We're currently reviewing our hiring policies.
Parent,You better be doing more than that. He was arrested in front of my daughter.
Parent,"This guy was stealing the lab equipment, right?"
Cop,"That's not our thinking at this time. We are looking at others who had access, not limited to the maintenance staff."
Parent,"Are you saying there was a break-in? Do we know exactly when this happened? I mean, could it have been during school hours?"
Cop,"We haven't been able to establish a date or time, but there is no sign of breaking or entering."
Parent,Whoever took it had a key? We're talking inside job? Someone who's still at the school?
Cop,"At this time I'm not able to discuss the details, but what I can tell you is that we have some very good people working very hard on this case."
Parent,"I'm sorry, Officer. But that sounds like double-talk. We're trying to protect our children. You have to level with us."
Cop,"Really, we are giving you all the information we have."
Parent,You know what I'd like to see in this school? Drug-sniffing dogs.
Parent,"Yeah, dogs, and metal detectors, and locker searches, and strip searches."
Superintendent,Our district has strict policies.
Parent,I heard about this school in Canada. They arrested one of their groundskeepers with drugs. And the next day they found out over half of the students were high on LSD.
Parent,LSD? When were you gonna tell us about the LSD?
Carmen,No. Please. No one said anything about LSD.
Parent,What about the equipment that was stolen?
Carmen,The equipment was taken from our chemistry department. And I would like someone to give us some specifics. Walt?
Walter,Yeah.
Carmen,"Mr. White is currently on medical leave. But as he's chair of the science department, he's made a very special effort to be with us here. And I'd like to take a moment to thank him for that. Could you please tell us more about the equipment that was taken? Please."
Walter,"Yes. And thank you. The inventory list for the missing labware is as follows  one 5,000 milliliter round bottom boiling flask, one Kjeldahl-style recovery flask, two full-face respirators, some sep funnels, a sill head with a thermometer holder."
Skyler,Where did that come from? And why was it so damn good?
Walter,Because it was illegal.
Real Estate Agent,"The basement. Unfinished, of course. But just look at all this space. You gotta think rec room, media room. Just imagine all the things you could do down here. Now remember, you're buying for this fantastic neighborhood. Big lawns and shade tress. Walking distance to the country club."
Buyer,What happened there?
Realtor,"Bit of a fixer, but this house has great bones."
Realtor,"You know what? We're zeroing in. I've got another listing, brand-new, right around the corner. Hi. Hi. It's by appointment only."
Walter,I'm here to see the owner.
Realtor,"He's in the recreational vehicle.
Scene  RV"
Jesse,"Yo, it's appointment only!"
Walter,How you feeling?
Jesse,"About as good as you look. Jeez, you look like Lex Luthor."
Walter,"Listen, I visited you in the hospital, but you were asleep."
Jesse,"Yeah, Skinny Pete said you wanted Tuco's address. Acting like you were all out for blood. You are alive, so obviously you wised up."
Walter,"No, I did go see him."
Jesse,Bullshit.
Walter,Are you selling your house?
Jesse,I got two dudes that turned into raspberry slushies and flushed down my toilet. I can't even take a proper dump in there. The whole damn house has got to be haunted by now. You didn't actually go see Tuco?
Walter,"Here. That is seventeen-five. Your half of the 35,000. Plus there's an extra 15 in there. It's all yours. You've earned it."
Jesse,You got this money from Tuco.
Walter,Yeah.
Jesse,So Tuco gave you this is what you're saying.
Walter,We made a deal.
Jesse,You made a deal?
Walter,That's right.
Jesse,Wait. Why would you make a deal with that scumbag? You see what he did to me?
Walter,Because I think that we can do business together. We came to an understanding.
Jesse,"No way, man! Okay? No understanding."
Walter,Take a look at the money in your hand. Now just imagine making that every week. That's right. Two pounds a week.
Jesse,"Without even talking to me, you told this insane ass clown dead-eyed k*ller that, uh that we would give him two pounds a week?"
Walter,We'll just scale up our operation. We'll add a few more hours.
Jesse,"Don't talk to me about hours. What about pseudo, man? How are we gonna get that? You think the meth fairy is just gonna bring it to us? It takes me a week to get this stuff. I'm driving all the way out to Las Cruces to meet up with my smurfs."
Walter,Smurfs?
Jesse,"Dudes who go to the drugstores and get a couple boxes at a time and then sell them to me. And that's maybe only good for, like, maybe a half-pound worth. See, that's the bottleneck in your brilliant business plan. All right. Of course you would have known that if you would have just asked me."
Dr. Delcavoli,"Well, here we are again."
Skyler,Here we are.
Dr. Delcavoli,"Skyler, you look great."
Skyler,Thank you.
Dr. Delcavoli,"You must be, what, six, seven months? How goes it?"
Skyler,It's great other than waddling to the bathroom every five minutes.
Walter,The baby shower's next week. It'll be good to have a day that's just about Skyler.
Dr. Delcavoli,Very nice.
Skyler,Thank you.
Dr. Delcavoli,"Well, Walt, I see you've committed to the hair loss."
Walter,Yeah.
Dr. Delcavoli,How do you feel?
Walter,"Oh, okay. You know, pretty decent actually."
Skyler,"His color is better. You know, his energy. And he's even more physical."
Dr. Delcavoli,More physical?
Skyler,"Well sexual. Frisky, actually. I mean, that's got to be a good sign, right?"
Dr. Delcavoli,"Sure, I'll take that. Right, Walt?"
Skyler,Couldn't that mean that the chemo is working?
Dr. Delcavoli,"Realistically, it may just mean that we've got the anti-emetics tuned right. Truth is, until Walt's finished this round of chemo and we look at a new PET scan, we just can't say for sure."
Skyler,"Isn't there anything else we could be doing? I've been wondering about alternative medicine. I mean, Eastern healing. You know, holistic."
Dr. Delcavoli,"Well, I can't speak to its efficacy. But as long as it doesn't interfere with our treatment, anything that helps my patient have a better outlook, a better comfort, is fine by me."
Skyler,So you're saying it's all psychological. It doesn't make any real difference.
Dr. Delcavoli,Having a better outlook can make a tremendous difference. But it's also important that we manage our expectations.
Walter,What?
Jesse,"A junkyard? Let me guess, you picked this place?"
Walter,What's wrong with it? It's private.
Jesse,"This is like a non-criminal's idea of a drug meet. This is like, ""Ooh, I saw this in a movie. Ooh, look at me."""
Walter,So where do you transact your business? Enlighten me.
Jesse,"I don't know. How about Taco Cabeza? Half the deals I've ever done went down at Taco Cabeza. Nice and public. Open 24 hours. Nobody ever gets sh*t at Taco Cabeza. Hell, why not the mall? You know, wait at the Gap. ""Hey! It's time for the meet. You know, I'll put down the flat-front khakis, head on over, grab an Orange Julius.” Skip the part where psycho lunatic Tuco comes and steals my drugs and leaves me bleeding to death."
Walter,"Look, you don't have to be here for this. Okay? I mean, seriously. I'm okay."
Jesse,"Nah, I'm no p*ssy. I'm good."
Tuco,"Mr. Clean and his boy. I'm sorry that I had to tune you up. Respect, ese. You gotta give it to get it. Hey, what are we doing way the hell out here? What, they close the mall or something? Heisenberg, come on, break it out. That's it? That's all you got?"
Walter,We had some production problems.
No Doze,Point five-three.
Tuco,"I thought you was a player. You told me two pounds, and now you waste my time with these Chiclets? 17 and a half. Minus the half for wasting my time.
Walter  Hey, come on."
Tuco,"What, you're gonna argue? You got something to say? You're doing business like a couple little bitches."
Walter,I want all of it. 70 grand.
Tuco,What did you say?
Walter,"You like this product, and you want more. Consider it a capital investment."
Tuco,"Loco bald m*therf*cker. 52 and a half, 25 points vig."
Walter,Vig?
Jesse,Interest. Weekly.
Walter,"Okay. That's $65,625 with interest. 1.875 pounds."
Tuco,No. 2 pounds. Next Friday. And no production problems.
Walter,Can you handle 4 pounds?
Tuco,"Listen, old man. Talk is talk. But owing me money that's bad."
Jesse,What did you just do?
Jesse,4 pounds. 4 pounds cause’ 2 pounds wasn't bad enough. We're talking 200-300 boxes of sinus pills. There ain't that many smurfs in the world.
Walter,"We're not going to need pseudoephedrine. We're going to make phenylacetone in a tube furnace, then we're gonna use reductive amination to yield methamphetamine, 4 pounds."
Jesse,So no pseudo?
Walter,No pseudo.
Jesse,"So you do have a plan. Yeah, Mr. White! Yeah, science!"
Walter,Okay.
Jesse,What's this?
Walter,That is a shopping list. Getting some of those items may be challenging.
Jesse,"""One autotransformer, hy...hydrous methyl...methylamine, two 35 M&M tube furnaces."""
Walter,"That's MM  millimeter. One 70-millimeter would be fine, but they're hard to come by, so."
Jesse,"""40 grams thorium nitrate?” Yo, Mr. White, I can't even pronounce half this shit. You know what? Count me out. I'm leaving town. I'm moving to, like, Oregon or something."
Walter,"Jesse, Jesse, listen to me. Today is the first day of the rest of your life."
Jesse,What are you doing?
Walter,"This is the first day of the rest of your life, but what kind of life will it be? Will it be a life of fear, of ""Oh, no, no, no, ""I can't do this,"" of never once believing in yourself?"
Jesse,I don't know.
Walter,Listen. These things? We need them. And only you can get them for us.
Walter Jr,"Okay, it's ready. There you go."
Marie,"Hi, baby. I'm your Aunt Marie. Now, you already know that because when you watch this 20 years from now, I will look exactly the same as I do now. I know it is amazing. I have aged shockingly well, haven't I? Anyway, welcome to your baby shower, Esmeralda!"
Walter Jr,Esmeralda?
Marie,"Esmeralda. That's your name, and you heard it here first. Now, that is your wonderful, handsome older brother. Show her, older brother, your face. Okay. Not right up the nose. Back to me. There's your mommy! Hello, Mommy! And look! There you are, Esmeralda! Wake up, baby! Time to party!"
Skyler,"Easy. Believe it or not, Esmeralda, right after the party, your name was changed to Holly. And I believe, Hank, that was around the time that we took Aunt Marie to the insane asylum."
Hank,"Yeah, yeah. I dropped her off at the curb. Then I married Shania Twain and lived happily ever after."
Marie,"There's Daddy! Speak, Daddy! Say hello to your daughter."
Walter,"Holly, I am very proud of you, and I think about you all the time. Wherever you go, whatever you do in life, always know that you have a family who loves you very, very much. Cheers."
Everyone,Cheers!
Skyler,"Oh, my God, it's so cute. Oh, Carmen, it's oh, look. Look at that. It's adorable. I love it, Carmen. Thank you."
Carmen,"You're so welcome, honey."
Skyler,Thank you. Look at the little feet.
Marie,From me. And Hank.
Skyler,What nice wrapping paper. Marie always finds the best wrapping paper.
Marie,I do.
Skyler,"Okay. Let's see what this is. Exciting. Oh, boy, oh, boy, oh, boy, oh, boy. It's a tiara. Marie, is this…"
Marie,White gold and several carats' worth of zircons.
Skyler,"Oh, Marie, you spent too much on this. You shouldn't have. You really, really shouldn't. But it's so, it's really, it's sparkly. Sparkly! Like wow! Thank you."
Hank,"Hey, listen, Walt, you got anything stronger than beer?"
Hank,"Sorry, man. You know, after 200 presents, it just gets kind of old. That's nice stuff."
Walter,"It is, isn't it?"
Hank,I got just the thing to go with that. I'm sorry. I wasn't thinking.
Walter,"No, no, no, no. It's okay. You mind if I have one?"
Hank,You think it's a good idea?
Walter,"Hank, I've already got lung cancer."
Hank,Okay. You got me there.
Walter,Thanks. Cuban.
Hank,I did a little favor for an FBI guy.
Walter,"Now, I was under the impression that these were illegal, hmm?"
Hank,"Yeah, well, sometimes forbidden fruit tastes the sweetest, doesn't it?"
Walter,"It's funny, isn't it? How we draw that line."
Hank,Yeah? What line is that?
Walter,"Well, what's legal, what's illegal, Cuban cigars, alcohol. You know, if we were drinking this in 1930, we'd be breaking the law. Another year, we'd be okay. Who knows what will be legal next year?"
Hank,You mean like pot?
Walter,Yeah. Like pot. Or whatever.
Hank,coca1ne? hero1n?
Walter,I'm just saying it's arbitrary.
Hank,"Well, you ought to visit lockup. You hear a lot of guys talking like that. ""Hey, man, why'd you bust me with these 14 bales of ganja? It's all gonna be legal next year when Willie Nelson's president."" Shit, buddy, it doesn't only go one way, either. Sometimes there's stuff that's legal that shouldn't be. I mean, friggin' meth used to be legal. Used to sell it over every counter at every pharmacy across America. Thank God they came to their senses on that one, huh?"
Walter,Yeah.
Walter,Nice party.
Skyler,A tiara. A white gold tiara for a newborn baby.
Walter,Yeah.
Skyler,"You know, I think she got that at Gertrude Zachary's in Nob Hill. I mean, that thing must have cost, like, what, $500 or $600. You know what? I think I'm going to return it."
Walter,You sure? She's bound to find out.
Skyler,"Well, maybe I can explain to her that we need a Diaper Genie more than a white gold baby tiara."
Walter,"You know, I've been thinking about what you said to Dr. Delcavoli about alternative medicine."
Skyler,Don't worry. I'm not going to mention that anymore.
Walter,"What I mean is that maybe there is something to it. Here. Look. They do this Navajo sweat lodge up by Farmington. Healing ceremony. It's supposed to be good for your lungs. I'm not saying that I believe in it, but you know, it might be an experience."
Skyler,Really? You? In a sweat lodge?
Walter,"I was thinking about driving up on Friday, coming back Sunday. I mean, if you're okay with it."
Skyler,"Well, of course I'm okay with that."
Walter,Okay.
Jesse,Sweat lodge?
Walter,Yeah.
Jesse,I'm already sweating. Help me out.
Walter,Okay. Right. Excellent. This is excellent. Very good work.
Jesse,Damn straight.
Walter,"Okay. Hydrogen. Electrolytically produced, yes?"
Jesse,"Yeah, like you asked. I mean, this crap wasn't easy to get. It was expensive."
Walter,Methylamine. Where's the methylamine? I don't see the methylamine.
Jesse,"Yeah, well, that's where I ran into some trouble."
Walter,What kind of trouble?
Jesse,"Well, half this crap I could just buy, right? But this methylamine, not so easy. They got it locked down tight. But I did find some pros who will rip it off for us. But they want 10 grand."
Walter,So what's the problem? You have the money.
Jesse,"No, had. I already spent almost the whole wad. I mean, I got, like, 2 grand left. I told you, all this crap was expensive."
Walter,"So these thieves, did they say where they would be stealing it from?"
Jesse,"Yeah, a chemical supply place south of town. They got guards and security cameras, big ass steel doors. That's why these dudes are charging so much. What?"
Walter,So why don't we just steal it ourselves?
Jesse,Yeah? How are we going to do that?
Walter,With this.
Jesse,So what's this stuff called again?
Walter,Thermite.
Jesse,And that will cut through a lock? Because this is supposed to be one big ass lock.
Walter,"In World w*r II, the Germans had an a*tillery piece, it's the biggest in the world, called the Gustav g*n, and it weighed a thousand tons. And the Gustav was capable of firing a 7-ton shell and hitting a target accurately 23 miles away. I mean, you could drop bombs on it every day for a month without ever disabling it. But you drop a commando, one man, with just a bag of this and he could melt right through and destroy that g*n forever."
Jesse,Jeez!
Walter,So yes. I think it will cut through any lock we're likely to find.
Manager,You'd like to return this?
Skyler,"It's very nice, but yes. Well, it is from the store, isn't it?"
Manager,"Oh, yes. It's from this store. Do you happen to have a receipt?"
Skyler,No. I don't. It was a gift.
Manager,"A gift. Mr. Wilson, could you step over here, please? Mr. Wilson, I'd like you to watch this lady while I phone the police."
Skyler,Excuse me?
Manager,"Ma'am, this item is stolen, as I'm sure you know. Come with me, please."
Manager,"Oh, yes. I intend to press charges. Please do. We'll be here."
Skyler,"Look, I've never stolen anything in my life, all right? I told you. That tiara was a gift. A baby shower gift."
Manager,"So who gave it to you, then?"
Skyler,I don't think I have to tell you that.
Manager,"You don't have to tell me anything. You can talk to the police, and I can tell them how my daughter-in-law remembers showing this particular item to a tall blonde woman who, when her back was turned, walked right out the door with it. So there."
Skyler,"Oh, yeah? Then I can talk to the Channel 3 News. Yeah. I can tell them how you people, without a shred, without a modicum of evidence, illegally detained an innocent pregnant woman in a dank storeroom."
Manager,This is my office.
Skyler,"I feel I'm being held hostage. Furthermore, I'm not getting enough air back here. I don't think I can breathe. Oh, my God. Oh, no. I'm going into labor."
Marie,You've reached Marie. Do the beep thing.
Skyler,Marie? It's Skyler. I just left Zachary's. I need to talk to you immediately.
Walter,Where's the guard?
Jesse,He's supposed to be coming by. You think he already passed?
Walter,I don't know. There he is.
Jesse,"Yeah, I see him."
Walter,Wait till he passes.
Jesse,"Okay, it's clear. What the hell is this?"
Walter,It's all they had.
Jesse,"Then you go to another store. If this is all they had, wrong place."
Walter,"Just put it on. Okay. This is it. Oh, God. Damn. Duck. Duck."
Jesse,"What? He's not supposed to come back. What's he doing? Oh, God. He's going to the crapper."
Walter,"Oh, God. Carry your bag."
Jesse,What? What are you doing?
Walter,"Okay, there is it."
Jesse,Is this going to be loud?
Walter,We'll find out in about ten seconds. Stand back.
Jesse,Jesus!
Walter,Where are the gallon jugs?
Jesse,I don't know.
Walter,God!
Jesse,What?
Walter,Let's just take this. Come on. Come on. What the hell are you doing opening the door?
Jesse,How are we going to take this thing out?
Walter,How is it going to be any different?
Jesse,Can I just try it?
Walter,"Fine, fine, go ahead. Jesus."
Jesse,"Okay. All right. Yeah, baby. See? Eat it, okay? I'm the king. I'm the king. No, no, no. That didn't sound good."
Walter,"Well, this thing's not going anywhere."
Jesse,We're not cooking in my damn driveway. I tell you that.
Walter,What part of slow it down did you not understand?
Jesse,"You talk too much. It's heavy, man."
Walter,"You got to wait for me. Okay. That's good, that's good. Now just bring it up. Easy, easy, easy. Okay. Your real estate agent, when is she supposed to come back?"
Jesse,"Shit. Yo, I don't know. I'll make damn sure she doesn't. Good call, yo."
Walter,All right. Keep the temperature steady at 425 degrees. We'll need to run it two more hours to have enough to make 4 and a half pounds.
Jesse,"4 and a half, not 4?"
Walter,"Two pounds pays Tuco back. Four and a half pounds puts us $44,000 ahead. Each."
Jesse,"Right on, man. Right on."
Walter,"With the amount of methylamine that we got last night, we could make well, for the foreseeable future."
Jesse,How long is that going to be? I mean in your situation. How much cash do you need?
Walter,More.
Jesse,Someone's in my yard.
Walter,"Was there, by any chance, scheduled for this afternoon an open house?"
Jesse,"I left her a message, man. It's not my fault."
Walter,I don't care how you do it. Just keep them out of here. Do you understand?
Jesse,Yeah.
Walter,Go.
Skyler,You know you can't duck me forever.
Marie,What?
Skyler,"Come on. I left you, like, 15 messages. When I went to your office, you snuck out the back way."
Marie,"I didn't sneak. I was going to lunch. Jeez, Skyler, what are you, the paranoid police?"
Skyler,"Marie, I have never been so humiliated in my life. That tiara. They accused me at Zachary's of shoplifting it."
Marie,What were you doing at Zachary's?
Skyler,I was returning it.
Marie,You were returning it. Why would you return it?
Skyler,"It just wasn't...Marie, what is wrong with you? Can you please tell me that? Can you tell me why you'd do such a thing? What does that mean? Does that mean you don't know?"
Marie,That means that I have no idea what the hell you're even talking about.
Skyler,"You have no idea what I'm talking about. The shoplifting. No idea? You're not going to admit this, are you?"
Marie,I can't really admit to something when I have no knowledge of what it is that I'm admitting.
Real Estate Agent,Don't forget to sign in. Thank you. Thank you.
Buyer,Excuse me. I'd just like to see the basement.
Jesse,"Yeah, well, it's occupied."
Buyer,It's not a bathroom. I just want to see the basement. What's the big deal?
Jesse,"Yo, you ain't seeing the basement, bitch! You got that? Is that sinking in? Now beat it. All of you all. House is not for sale! Get the hell out!"
Skyler,So how was it? Was it an experience?
Walter,Yeah. It was definitely an experience.
Skyler,What's that smell?
Walter,"Yeah. It's sacred Navajo herbs and, hey, is everything okay?"
Skyler,"No. Not really. Actually, not at all. You know that tiara that Marie gave us?"
Walter,Yeah.
Skyler,"Well, she stole it. Yeah. I practically got arrested trying to return it at the store."
Walter,"Oh, my God."
Skyler,She refuses to admit it. She refuses to apologize. I don't know what to do.
Walter,"Oh, well. People sometimes do things for their families."
Skyler,"People sometimes do things for their families? And, what, that justifies stealing?"
Walter,Yeah.
Skyler,That must have been some sweat lodge. Have you been listening to the words coming out of your mouth?
Walter,What would you do if it were me?
Skyler,What do you mean if it were you?
Walter,"If it were me, what would you do? Would you divorce me? Would you turn me in to the police?"
Skyler,You don't want to find out. Do you want something to eat?
Walter,"No, thanks."
Tuco,What is this shit? This is blue.
Walter,"We used a different chemical process, but it is every bit as pure."
Jesse,"It may be blue, but it's the b*mb."
Tuco,"Tight! Tight, tight, yeah! Blue, yellow, pink. Whatever, man. Just keep bringing me that. Come on. And what did I say, man? This guy can cook! You're all right, man. You're all right. We're going to make a lot of money together."
No Doze,Just remember who you're working for.
Tuco,What did you say?
No Doze,I'm just saying they got to know that they're working for you.
Tuco,Like they don't already know that? Are you saying that they're stupid?
No Doze,"No, I'm just saying."
Tuco,"Oh, yeah. So you're not saying that they're stupid. So I don't understand. Are you saying that I'm stupid?"
No Doze,"No. Come on, Tuco. I'm just saying."
Tuco,"No, you're just speaking for me! Like I ain't got the damn sense to speak for myself! Is that it? Is that what you're doing?"
Walter,"Tuco. Hey, why don't we all just relax, huh?"
Tuco,"Heisenberg says relax. Orale, homes. I'm relaxed. I'm relaxed. I'm relaxed. Damn, man! Look at that! Look! Yeah. That's messed up. Okay, Heisenberg! Next week."
Tuco,What is this? It's blue.
Walter,"We used a different chemical process, but it is every bit as pure."
Jesse,"May be blue, but it's the b*mb."
Tuco,"Tight, tight, tight! Yeah. Blue, yellow, pink! Whatever man, just keep bringing me that. You're all right. We're gonna make a lot of money together."
No Doze,Just remember who you're working for.
Tuco,What did you say?
No Doze,"I'm just saying, they gotta know that they're working for you."
Tuco,Like they don't already know that? Are you saying that they're stupid?
No Doze,"No, I'm just saying."
Tuco,"Oh yeah, so you're not saying that they're stupid? So, I don't understand. Are you saying that I'm stupid? Is that it? Is that what you're doing?"
Walter,Tuco. Why don't we all just relax?
Tuco,"Heisenberg says, ""relax. "" I'm relaxed. I'm relaxed. I'm relaxed Damn, man! Look at that! Look! Yeah. That's messed up. Okay, Heisenberg! Next week."
Walter,"Adjusting for inflation. Good state college, adjusting for inflation, say $45,000 a year. Two kids, four years of college, $360,000. Remaining mortgage on the home, 170,000. Home equity line, 30,000. That's 137,000. Cost of living, food, clothing, utilities, say two grand a month, and that should put a dent in it, anyway. 24k a year, provide for say, 10 years. That's $240,000. Plus 360, plus 137. 737. $737,000. That’s what I need. That is what I need. You and I both clear about 70 grand a week, that's only 10 1/2 more weeks. Call it 11. 11 more drug deals and always in a public place from now on. It's do-able. Definitely do-able."
Tuco,"Heisenberg! What the hell? What's wrong with him? What's the matter with you? You can't take an ass-beating, bitch?"
Gonzo,"Damn, Tuco."
Tuco,Shut up.
Walter,There's no pulse.
Tuco,Do something.
Walter,Do something? He needs an ambulance. He needs a hospital.
Tuco,"Do something! You're smart, right? Do that thing!"
Walter,"No, there's nothing."
Tuco,Breathe into his mouth.
Walter,"No, they don't teach that anymore. It doesn't work."
Tuco,"You, come here! Breathe into his mouth! Get rid of him."
